id,substation_id,name,longitude,latitude,string,order,distance,subassembly,upstream_cable
DOW_OSS,DOW_OSS,DOW_OSS,1.378767,53.2648,,,,offshore_substation.yaml,export.yaml
DAE_A1,DOW_OSS,DAE_A1,1.358783,53.24395,0,0,3.13527898,vestas_v90.yaml,array.yaml
DAD_A2,DOW_OSS,DAD_A2,1.349033,53.248467,0,1,0.99385997,vestas_v90.yaml,array.yaml
DAC_A3,DOW_OSS,DAC_A3,1.339283,53.252983,0,2,0.99371902,vestas_v90.yaml,array.yaml
DAB_A4,DOW_OSS,DAB_A4,1.32955,53.2575,0,3,0.99269852,vestas_v90.yaml,array.yaml
DAA_A5,DOW_OSS,DAA_A5,1.3198,53.262017,0,4,0.99367284,vestas_v90.yaml,array.yaml
DDE_B1,DOW_OSS,DDE_B1,1.370467,53.263667,1,0,0.7000443,vestas_v90.yaml,array.yaml
DCD_B2,DOW_OSS,DCD_B2,1.35765,53.256983,1,1,1.35323385,vestas_v90.yaml,array.yaml
DCC_B3,DOW_OSS,DCC_B3,1.346467,53.262167,1,2,1.13349829,vestas_v90.yaml,array.yaml
DCB_B4,DOW_OSS,DCB_B4,1.335267,53.267367,1,3,1.13571086,vestas_v90.yaml,array.yaml
DCA_B5,DOW_OSS,DCA_B5,1.320917,53.2762,1,4,1.62887569,vestas_v90.yaml,array.yaml
DBA_B6,DOW_OSS,DBA_B6,1.32035,53.2691,1,5,0.95769024,vestas_v90.yaml,array.yaml
DDD_C1,DOW_OSS,DDD_C1,1.359283,53.26885,2,0,1.63321331,vestas_v90.yaml,array.yaml
DDC_C2,DOW_OSS,DDC_C2,1.3481,53.274017,2,1,1.13197511,vestas_v90.yaml,array.yaml
DDB_C3,DOW_OSS,DDB_C3,1.336933,53.279217,2,2,1.13351405,vestas_v90.yaml,array.yaml
DDA_C4,DOW_OSS,DDA_C4,1.321483,53.283283,2,3,1.3439432,vestas_v90.yaml,array.yaml
DEA_C5,DOW_OSS,DEA_C5,1.322033,53.290383,2,4,0.95763008,vestas_v90.yaml,array.yaml
DFA_C6,DOW_OSS,DFA_C6,1.3226,53.297467,2,5,2.47006006,vestas_v90.yaml,array.yaml
DFD_D1,DOW_OSS,DFD_D1,1.36125,53.280483,3,0,1.13876831,vestas_v90.yaml,array.yaml
DFC_D2,DOW_OSS,DFC_D2,1.350017,53.2857,3,1,1.13771153,vestas_v90.yaml,array.yaml
DFB_D3,DOW_OSS,DFB_D3,1.3388,53.290917,3,2,1.54779725,vestas_v90.yaml,array.yaml
DHB_D4,DOW_OSS,DHB_D4,1.340583,53.302567,3,3,1.02212766,vestas_v90.yaml,array.yaml
DHA_D5,DOW_OSS,DHA_D5,1.333583,53.308917,3,4,1.74146825,vestas_v90.yaml,array.yaml
DGA_D6,DOW_OSS,DGA_D6,1.323167,53.304567,3,5,1.74146825,vestas_v90.yaml,array.yaml
DFE_E1,DOW_OSS,DFE_E1,1.372483,53.275283,4,0,1.47586729,vestas_v90.yaml,array.yaml
DHE_E2,DOW_OSS,DHE_E2,1.374167,53.287,4,1,1.55570077,vestas_v90.yaml,array.yaml
DHD_E3,DOW_OSS,DHD_E3,1.362983,53.292183,4,2,1.13300516,vestas_v90.yaml,array.yaml
DHC_E4,DOW_OSS,DHC_E4,1.351783,53.297383,4,3,1.13523501,vestas_v90.yaml,array.yaml
DKB_E5,DOW_OSS,DKB_E5,1.35245,53.309583,4,4,1.61305597,vestas_v90.yaml,array.yaml
DKA_E6,DOW_OSS,DKA_E6,1.3432,53.313867,4,5,0.94418381,vestas_v90.yaml,array.yaml
DHF_F1,DOW_OSS,DHF_F1,1.385383,53.281817,5,0,2.29001019,vestas_v90.yaml,array.yaml
DKG_F2,DOW_OSS,DKG_F2,1.39865,53.288183,5,1,1.35322056,vestas_v90.yaml,array.yaml
DKF_F3,DOW_OSS,DKF_F3,1.389417,53.292467,5,2,0.94342866,vestas_v90.yaml,array.yaml
DKE_F4,DOW_OSS,DKE_F4,1.380183,53.29675,5,3,0.94335486,vestas_v90.yaml,array.yaml
DKD_F5,DOW_OSS,DKD_F5,1.370933,53.301033,5,4,0.94427341,vestas_v90.yaml,array.yaml
DKC_F6,DOW_OSS,DKC_F6,1.3617,53.3053,5,5,0.94192429,vestas_v90.yaml,array.yaml
DKH_G1,DOW_OSS,DKH_G1,1.407883,53.2839,6,0,3.06341584,vestas_v90.yaml,array.yaml
DKJ_G2,DOW_OSS,DKJ_G2,1.417133,53.279633,6,1,0.85749267,vestas_v90.yaml,array.yaml
DKK_G3,DOW_OSS,DKK_G3,1.426367,53.27535,6,2,0.85779879,vestas_v90.yaml,array.yaml
DKL_G4,DOW_OSS,DKL_G4,1.4356,53.271067,6,3,0.85779431,vestas_v90.yaml,array.yaml
DKM_G5,DOW_OSS,DKM_G5,1.44485,53.266783,6,4,0.85885887,vestas_v90.yaml,array.yaml
DJM_G6,DOW_OSS,DJM_G6,1.444267,53.259417,6,5,0.90172834,vestas_v90.yaml,array.yaml
DHG_H1,DOW_OSS,DHG_H1,1.396567,53.276633,7,0,1.90194903,vestas_v90.yaml,array.yaml
DHH_H2,DOW_OSS,DHH_H2,1.407767,53.271433,7,1,1.03233088,vestas_v90.yaml,array.yaml
DHJ_H3,DOW_OSS,DHJ_H3,1.41895,53.26625,7,2,1.0302481,vestas_v90.yaml,array.yaml
DHK_H4,DOW_OSS,DHK_H4,1.43015,53.26105,7,3,1.03248051,vestas_v90.yaml,array.yaml
DFK_H5,DOW_OSS,DFK_H5,1.429317,53.2497,7,4,1.36759534,vestas_v90.yaml,array.yaml
DHM_H6,DOW_OSS,DHM_H6,1.443717,53.25205,7,5,1.08591489,vestas_v90.yaml,array.yaml
DDG_J1,DOW_OSS,DDG_J1,1.3928,53.2533,9,0,0.74586909,vestas_v90.yaml,array.yaml
DDH_J2,DOW_OSS,DDH_J2,1.403967,53.248117,9,1,1.03546985,vestas_v90.yaml,array.yaml
DCJ_J3,DOW_OSS,DCJ_J3,1.413567,53.231017,9,2,2.96795125,vestas_v90.yaml,array.yaml
DAL_J4,DOW_OSS,DAL_J4,1.4172,53.216833,9,3,1.03078561,vestas_v90.yaml,array.yaml
DAM_J5,DOW_OSS,DAM_J5,1.42695,53.212317,9,4,1.43500462,vestas_v90.yaml,array.yaml
DDF_K1,DOW_OSS,DDF_K1,1.381633,53.258467,10,0,1.70517585,vestas_v90.yaml,array.yaml
DCF_K2,DOW_OSS,DCF_K2,1.380017,53.2466,10,1,1.02962213,vestas_v90.yaml,array.yaml
DCG_K3,DOW_OSS,DCG_K3,1.3912,53.241417,10,2,2.14851227,vestas_v90.yaml,array.yaml
DCH_K4,DOW_OSS,DCH_K4,1.402383,53.236217,10,3,1.71693866,vestas_v90.yaml,array.yaml
DAK_K5,DOW_OSS,DAK_K5,1.407467,53.221367,10,4,0.9038348,vestas_v90.yaml,array.yaml
DCE_L1,DOW_OSS,DCE_L1,1.368833,53.251783,11,0,0.80680894,vestas_v90.yaml,array.yaml
DAF_L2,DOW_OSS,DAF_L2,1.368533,53.239433,11,1,1.43134198,vestas_v90.yaml,array.yaml
DAG_L3,DOW_OSS,DAG_L3,1.37825,53.234917,11,2,1.03060566,vestas_v90.yaml,array.yaml
DAH_L4,DOW_OSS,DAH_L4,1.388,53.2304,11,3,1.03189613,vestas_v90.yaml,array.yaml
DAJ_L5,DOW_OSS,DAJ_L5,1.39775,53.225883,11,4,1.81153842,vestas_v90.yaml,array.yaml
DFF_T1,DOW_OSS,DFF_T1,1.3837,53.270067,8,0,1.7128224,vestas_v90.yaml,array.yaml
DFG_T2,DOW_OSS,DFG_T2,1.394933,53.26485,8,1,1.48331779,vestas_v90.yaml,array.yaml
DDJ_T3,DOW_OSS,DDJ_T3,1.415133,53.242917,8,2,0.90172094,vestas_v90.yaml,array.yaml
DDK_T4,DOW_OSS,DDK_T4,1.426317,53.237733,8,3,0.90367918,vestas_v90.yaml,array.yaml
DCK_T5,DOW_OSS,DCK_T5,1.424733,53.225833,8,4,0.90373588,vestas_v90.yaml,array.yaml
