id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
A7,OSS,A7,turbine,-41.70560556,-74.67750502,0.0,0.0,0.0,0.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,1515.15,9090.9,1515.15,9090.9,5.957411604418572,0
B7,OSS,B7,turbine,-41.66269051,-74.67031126,0.0,1.0,0.0,1.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,3030.3,9090.9,3030.3,9090.9,5.961770875750209,0
C7,OSS,C7,turbine,-41.61981624,-74.66310956,0.0,2.0,0.0,2.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,4545.45,9090.9,4545.45,9090.9,5.966132917477311,0
D7,OSS,D7,turbine,-41.57698273,-74.65589992,0.0,3.0,0.0,3.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,6060.6,9090.9,6060.6,9090.9,5.97049631363902,0
E7,OSS,E7,turbine,-41.53418997,-74.64868235,0.0,4.0,0.0,4.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,7575.75,9090.9,7575.75,9090.9,5.97486127304331,0
F7,OSS,F7,turbine,-41.49143795,-74.64145688,0.0,5.0,0.0,5.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,9090.9,9090.9,9090.9,9090.9,5.979229001900223,0
G7,OSS,G7,turbine,-41.44872665,-74.63422351,0.0,6.0,0.0,6.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,10606.05,9090.9,10606.05,9090.9,6.6749359725056605,0
A6,OSS,A6,turbine,-41.67838989,-74.68885434,1.0,0.0,1.0,0.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,1515.15,7575.75,1515.15,7575.75,5.9594017825289045,0
B6,OSS,B6,turbine,-41.63545724,-74.681655,1.0,1.0,1.0,1.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,3030.3,7575.75,3030.3,7575.75,5.963768549479378,0
C6,OSS,C6,turbine,-41.59256545,-74.67444772,1.0,2.0,1.0,2.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,4545.45,7575.75,4545.45,7575.75,5.968139086559298,0
D6,OSS,D6,turbine,-41.54971449,-74.66723249,1.0,3.0,1.0,3.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,6060.6,7575.75,6060.6,7575.75,5.972511187301516,0
E6,OSS,E6,turbine,-41.50690436,-74.66000934,1.0,4.0,1.0,4.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,7575.75,7575.75,7575.75,7575.75,5.976883540912714,0
F6,OSS,F6,turbine,-41.46413505,-74.65277828,1.0,5.0,1.0,5.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,9090.9,7575.75,9090.9,7575.75,5.981259872133124,0
G6,OSS,G6,turbine,-41.42140653,-74.64553932,1.0,6.0,1.0,6.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,10606.05,7575.75,10606.05,7575.75,3.964960691013955,0
A5,OSS,A5,turbine,-41.65113336,-74.70020011,2.0,0.0,2.0,0.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,1515.15,6060.6,1515.15,6060.6,5.961388778091446,0
B5,OSS,B5,turbine,-41.60818312,-74.69299518,2.0,1.0,2.0,1.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,3030.3,6060.6,3030.3,6060.6,5.965766454329926,0
C5,OSS,C5,turbine,-41.56527381,-74.6857823,2.0,2.0,2.0,2.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,4545.45,6060.6,4545.45,6060.6,5.970144382602901,0
D5,OSS,D5,turbine,-41.52240543,-74.67856149,2.0,3.0,2.0,3.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,6060.6,6060.6,6060.6,6060.6,5.974522772786144,0
E5,OSS,E5,turbine,-41.47957794,-74.67133275,2.0,4.0,2.0,4.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,7575.75,6060.6,7575.75,6060.6,5.978906141250147,0
F5,OSS,F5,turbine,-41.43679134,-74.66409609,2.0,5.0,2.0,5.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,9090.9,6060.6,9090.9,6060.6,5.9832898670440295,0
G5,OSS,G5,turbine,-41.39404563,-74.65685154,2.0,6.0,2.0,6.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,10606.05,6060.6,10606.05,6060.6,3.499330978336888,0
A4,OSS,A4,turbine,-41.62383588,-74.71154231,3.0,0.0,3.0,0.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,1515.15,4545.45,1515.15,4545.45,5.963376111152789,0
B4,OSS,B4,turbine,-41.58086807,-74.70433179,3.0,1.0,3.0,1.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,3030.3,4545.45,3030.3,4545.45,5.967762174820206,0
C4,OSS,C4,turbine,-41.53794126,-74.69711331,3.0,2.0,3.0,2.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,4545.45,4545.45,4545.45,4545.45,5.9721465999334,0
D4,OSS,D4,turbine,-41.49505545,-74.6898869,3.0,3.0,3.0,3.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,6060.6,4545.45,6060.6,4545.45,5.976535795520996,0
E4,OSS,E4,turbine,-41.45221063,-74.68265256,3.0,4.0,3.0,4.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,7575.75,4545.45,7575.75,4545.45,5.980926660753599,0
F4,OSS,F4,turbine,-41.40940676,-74.67541031,3.0,5.0,3.0,5.0,0.0,12MW_osw_floating_floating.yaml,osw_array.yaml,9090.9,4545.45,9090.9,4545.45,5.985317780432379,0
